block_x,block_y,samples,kernel_time_ms,total_time_ms,efficiency
8,8,40,4553.637,4553.636,1.000
8,8,200,21506.270,21506.096,1.000
8,8,360,38969.141,38968.898,1.000
8,8,520,56563.406,56563.242,1.000
8,8,680,73524.812,73524.875,1.000
8,8,840,91506.039,91506.445,1.000
8,8,1000,109228.820,109229.641,1.000
8,8,1160,126719.906,126721.195,1.000
8,8,1320,144217.766,144219.594,1.000
8,8,1480,161664.391,161666.781,1.000
8,8,1640,179133.422,179136.359,1.000
8,8,1800,196598.062,196601.578,1.000
